,0,1,2
280,Raffles Place,-0.00819610686341,-0.00761830328998
295,Xilin,-0.00502656202624,-0.00482196972274
165,Kampong Ubi,-0.00415485430583,-0.00407869358299
239,Central Subzone,-0.00275851929246,-0.00337443858124
148,Tanjong Pagar,-0.00269606757089,-0.0027591716263
229,One North,-0.00266134085763,-0.00279097749018
250,Yio Chu Kang,-0.00222981555827,-0.0019113521656
117,Singapore Polytechnic,-0.00177890179659,-0.00162490658189
134,Joo Seng,-0.00164878469345,-0.00181621660717
246,Western Water Catchment,-0.00158545618537,-0.00148568223667
220,Cecil,-0.00157353367581,-0.0016950583085
205,Yio Chu Kang East,-0.00156273407114,-0.00165416730393
260,Tampines West,-0.00150265403084,-0.0011779166714
128,Kallang Way,-0.00146749186019,-0.00162889950067
110,National University of S'pore,-0.00146738685914,-0.00139743243223
269,Tuas North,-0.00141749999352,-0.00130367891234
61,Singapore General Hospital,-0.00128005095387,-0.00131587422935
178,Changi West,-0.00125986432546,-0.00132370854549
153,Pasir Panjang 2,-0.0012479524158,-0.00130083083829
159,Loyang West,-0.00113641856227,-0.00110000303055
68,Kaki Bukit,-0.00112986310925,-0.00163715802148
101,Joo Koon,-0.00110432750514,-0.00103067506405
58,Senoko South,-0.00108387620287,-0.00104696425102
268,Telok Blangah Drive,-0.00108314217511,-0.00108329022573
19,Gul Circle,-0.00101815050267,-0.000800613204642
147,Tai Seng,-0.00101739377073,-0.00105303185253
188,Benoi Sector,-0.000959980973672,-0.00124776936025
160,Simei,-0.000928025807403,-0.000864273916784
176,Kallang Bahru,-0.000926308105656,-0.000672949482977
161,Tuas View,-0.000920655986361,-0.000868459743749
36,Toh Tuck,-0.000890777614389,-0.000958410880035
27,Jurong Island and Bukom,-0.000866742656905,-0.000896101919009
91,Serangoon North Ind Estate,-0.000706461729111,-0.00063534681978
177,Tuas View Extension,-0.00068714165668,-0.000725689932121
264,Pioneer Sector,-0.000682647459634,-0.000629162239422
79,Kent Ridge,-0.000675602235276,-0.000493920721555
141,Pandan,-0.000621243128171,-0.000606204247031
40,Macpherson,-0.000614258850215,-0.000477683563983
313,Port,-0.000606298032213,-0.000903859618405
21,Senoko North,-0.000604373011425,-0.000712903810884
214,China Square,-0.000597054757828,-0.00055773864008
187,Bukit Merah,-0.000573982250917,-0.000716340374804
0,Defu Industrial Park,-0.000572108056082,-0.000498802837578
67,Gul Basin,-0.00057080494075,-0.000566494918865
157,Kian Teck,-0.000569267221412,-0.000827215239841
303,Tukang,-0.000563672853924,-0.000634515849078
34,Tiong Bahru Station,-0.000551754122278,-0.000547142295893
155,International Business Park,-0.000530943575321,-0.000630076688519
78,Samulun,-0.000529744838072,-0.000543970234341
47,North Coast,-0.000526710604083,0.00121243068161
87,Penjuru Crescent,-0.000526158892069,-0.000511454219949
162,Anak Bukit,-0.000480917852761,-0.000707204472321
69,Bukit Batok South,-0.000468750396557,-0.000524075970285
275,Tuas Bay,-0.000462393820542,-0.000500574818445
85,Ghim Moh,-0.000452128020773,-0.000371846246281
93,Potong Pasir,-0.000448384815962,-0.000344090223991
66,Liu Fang,-0.000436509480698,-0.000294318235851
62,Northland,-0.00042660520637,-0.00021260010824
185,Senoko West,-0.000412141718011,-0.000495241111626
102,Pasir Panjang 1,-0.000406269899062,-0.000527654234421
190,Holland Road,-0.000402912764294,-0.000342190910875
121,Redhill,-0.000388939480186,-0.00032685797386
97,Jurong River,-0.000370575066703,-0.000378130041922
84,Keat Hong,-0.000370220252343,-0.000484152148623
125,Commonwealth,-0.000356025636927,-0.000353337399559
231,Newton Circus,-0.000353795528008,-0.000376545392669
247,Lorong Chuan,-0.000351708001799,-0.000391936881373
22,Dover,-0.000351380555323,-0.000392468897514
138,Gali Batu,-0.00034802948221,-0.000444592958283
3,Sembawang North,-0.000346125856988,-0.000265528347972
243,Tuas Promenade,-0.000339551739272,0.000340258839127
170,Anson,-0.000334998515711,-0.000348947503328
96,Shipyard,-0.000331752212532,-0.000282787378721
301,Alexandra Hill,-0.000326809164346,-0.0003329003216
200,Plab,-0.000325622462891,-0.000252526535373
204,Balestier,-0.000321431261734,-0.000280678913655
127,Sennett,-0.000261496912119,-0.000327555574284
253,Everton Park,-0.000261370824659,-0.000428031297388
173,Seletar Aerospace Park,-0.00025419258007,-0.000189684853354
211,Kranji,-0.000252321496275,0.000362117819924
77,Tagore,-0.000248775277279,-0.000321182280989
281,Safti,-0.000247323492944,-0.000322537781488
146,Pang Sua,-0.000246061967924,-0.000148507529422
248,City Terminals,-0.000239174871997,-0.000145949980108
129,Geylang Bahru,-0.000236049222357,-0.000419759167475
169,Loyang East,-0.000233633136535,-0.000223520482941
184,Tanglin Halt,-0.00022776952362,-0.000210827317758
16,Jurong Port,-0.000217738506344,-0.000271774336392
238,The Wharves,-0.000217320045269,-0.000189751216598
277,Moulmein,-0.000211774567317,-0.000362680769988
302,Airport Road,-0.000203313921487,-0.000202643064132
221,Depot Road,-0.000201071387338,-0.000179839704267
156,Teban Gardens,-0.000200805721441,-0.000181566887989
42,Phillip,-0.000186630476512,-0.000411772714767
279,Chin Bee,-0.000182085430172,-0.000258579586528
299,Henderson Hill,-0.000176119727527,-0.000276170182082
183,Serangoon North,-0.000174330915854,-0.000280593481771
44,Chinatown,-0.000162787826522,-0.000113473047015
89,Yio Chu Kang North,-0.000149090411726,-7.1033358744e-05
49,Woodleigh,-0.000129934881877,-8.93367619918e-05
100,Seletar Hills,-0.00012924326729,2.64346362706e-05
50,Wenya,-0.00012463210725,-0.000181416188589
261,Mandai East,-0.000112225603006,-7.52805215972e-05
225,Paya Lebar West,-0.000109436464897,-0.000165793104065
150,Mount Pleasant,-0.000104658691618,-0.00018191834526
227,Chatsworth,-0.000104071087381,-3.80410617986e-06
298,Malcolm,-0.000100457279604,-9.42348245854e-05
10,Gombak,-9.96309916596e-05,-8.21709291172e-05
35,Changi Bay,-9.92170751503e-05,-0.000118534942359
73,Changi Airport,-9.70668581044e-05,-0.000100425846831
81,Clifford Pier,-9.5392987367e-05,-7.48982804757e-05
8,Braddell,-9.26631774873e-05,-7.35316736528e-05
305,Greenwood Park,-9.05866227633e-05,-0.000193670714232
57,Ulu Pandan,-8.27763699896e-05,-7.52246097421e-05
172,Queensway,-7.47372269546e-05,-6.86941576272e-06
276,Alexandra North,-6.5492750508e-05,-2.6527901915e-05
24,Bidadari,-6.18240467234e-05,-4.30198695519e-05
308,Mei Chin,-5.87348270645e-05,9.6052689578e-05
297,Maxwell,-5.41638155058e-05,-8.03447191654e-05
294,Woodlands Regional Centre,-5.21041106855e-05,-0.000424294271905
23,Clarke Quay,-4.93555793593e-05,-0.000106161934162
285,Margaret Drive,-4.86228043306e-05,0.000130993434315
167,Cheng San,-4.73049145856e-05,3.47553439152e-05
48,Clementi Woods,-3.42871500127e-05,-9.03678191981e-05
43,Faber,-3.26837117744e-05,-8.9552557064e-05
208,Straits View,-2.53047739236e-05,-4.2531935141e-05
314,Tengeh,-2.43021579678e-05,0.000165939339628
289,Kim Keat,-1.89304557937e-05,0.000135472673731
259,Reservoir View,-1.69461524149e-05,-0.00013163334173
13,Pulau Punggol Barat,-1.61623139236e-05,-3.82207161359e-06
37,Paya Lebar East,-1.22591258271e-05,7.41850669834e-05
258,Simpang North,-1.09400022427e-05,-2.58073912421e-06
291,Bukit Batok Central,-8.89759337454e-06,-0.000101894071046
60,Yio Chu Kang West,-6.9931942253e-06,-8.53872478783e-05
296,Lakeside,-5.20833185777e-06,2.69580760626e-05
290,Mandai West,-4.0288764604e-06,3.01284246269e-06
109,Tengah,-2.05456102627e-06,-2.2338281277e-05
151,Goodwood Park,-1.59946792003e-06,4.43844515039e-06
55,Turf Club,1.87865053784e-06,-0.000105542470461
213,Sunset Way,7.00985110162e-06,7.4491744682e-06
212,Telok Blangah Way,9.89778714479e-06,5.80356852385e-05
111,Boat Quay,1.45284661071e-05,-0.000145296464297
139,Lorong Halus North,1.53490170186e-05,5.95463859778e-05
196,Khatib,1.72017474294e-05,-0.000260657055632
116,Institution Hill,1.9424611326e-05,0.000143606941279
235,Paterson,2.87135412921e-05,6.78062518186e-05
287,Tanglin,2.97902552478e-05,5.05520640517e-05
252,People's Park,3.16995356875e-05,-1.37060879611e-05
217,Mandai Estate,3.30307834532e-05,2.02529569679e-05
106,Brickworks,3.3232953633e-05,6.46344451404e-05
14,Pasir Ris Wafer Fab Park,3.52391883358e-05,6.24828054732e-05
18,Telok Blangah Rise,3.54455346248e-05,0.000135230953422
309,Sungei Road,4.10311099275e-05,0.000160710284099
203,Leonie Hill,4.38535684776e-05,0.000108450792865
94,Sengkang West,4.49184919685e-05,1.75963437183e-05
12,Coronation Road,4.653946256e-05,5.42874724727e-05
254,Mount Emily,4.95291471681e-05,1.84745633436e-05
262,Monk's Hill,5.12105064792e-05,1.45830608937e-05
163,Marina East (MP),5.52641306558e-05,5.45199030064e-05
64,Springleaf,5.83875955763e-05,8.68791429602e-05
219,Nee Soon,6.379576961e-05,3.92073038265e-05
122,Oxley,6.43951298081e-05,0.000114711098571
82,Selegie,6.75938281212e-05,2.80013434249e-05
72,Midview,6.8068292353e-05,0.000242131559917
192,Yishun Central,6.86901115098e-05,-0.000183932234571
136,Pulau Punggol Timor,6.90369568368e-05,6.20366968852e-05
271,Yew Tee,7.14688486285e-05,0.000132223841786
118,Hong Kah North,7.22436997364e-05,0.000213764925765
244,Holland Drive,8.1991186368e-05,-0.000127240443854
140,West Coast,8.64841695341e-05,8.71229441774e-05
263,One Tree Hill,8.774055612e-05,-1.63061992051e-05
133,Pearl's Hill,8.86684137741e-05,0.000235839912749
105,Seletar,9.06727126563e-05,1.64042164056e-06
198,Dairy Farm,9.32617452296e-05,2.87073497499e-05
51,Admiralty,9.42173121457e-05,0.000114683829851
28,Lorong 8 Toa Payoh,9.49122539881e-05,-7.09841613467e-05
38,Bukit Batok West,9.82848550793e-05,-4.87873753033e-05
251,Leedon Park,9.8342534037e-05,6.59143901132e-05
312,Kampong Tiong Bahru,9.97972561899e-05,3.79362244154e-05
191,Saujana,0.000100770748594,0.000255403707319
120,Kampong Java,0.000101500152574,1.64635329252e-06
202,Dunearn,0.00010173399371,0.00016965713208
59,Lim Chu Kang,0.000105027180847,0.000278715473976
300,Woodlands West,0.000112405403674,0.000300373166174
145,Choa Chu Kang Central,0.000113846746493,2.16737333237e-05
206,Farrer Court,0.000117321500772,8.40694410257e-05
132,Lorong Halus,0.000122335043772,7.32077498977e-05
137,Nature Reserve,0.000123541072297,0.00026373934407
256,Sembawang East,0.000124425639365,0.000169617597529
30,Tiong Bahru,0.000132377030042,0.000139470213686
9,Teck Whye,0.000133606479021,-3.04071946887e-05
31,Clementi West,0.000146459749529,1.46482865954e-05
123,Robertson Quay,0.000156347876408,0.000239859077194
90,Bishan East,0.000158120977945,5.91303561026e-05
4,Pei Chun,0.000160091524659,0.000112807816901
11,Sembawang Straits,0.000181983033023,0.000176453046341
112,Clementi Central,0.000182728437236,0.000100493415567
83,Ridout,0.000186508021765,0.000112815870546
307,Bedok South,0.00019318378515,0.000344870269108
274,Bendemeer,0.000198954413588,9.84860628178e-05
7,Kebun Bahru,0.000202869215213,0.000161722988926
236,Orange Grove,0.000210515965367,0.000410005635949
124,Flora Drive,0.000211324275633,7.19942720447e-05
209,Marymount,0.000215735294329,0.00050229505958
180,Sembawang Central,0.000219676952554,1.26113885552e-05
304,Hillcrest,0.000227381106596,0.000227474078127
255,Sembawang Hills,0.000235060076982,0.00016087944567
218,Ang Mo Kio Town Centre,0.000236311518115,0.000302201773388
63,Clementi North,0.000236745533296,0.000167453434069
135,Jelebu,0.000237163868551,0.000104056664776
266,Toh Guan,0.000239850014108,0.000196949152315
54,Bukit Batok East,0.000240031871695,0.000187966387143
195,North-Eastern Islands,0.00025629249218,0.000290879688358
175,Peng Siang,0.000262320018763,0.000319657399946
71,Shangri-La,0.000265276282011,0.000259947596041
224,Guilin,0.000266638738636,0.000168886463862
152,Upper Paya Lebar,0.000267743112983,0.000282746928995
142,Taman Jurong,0.000285030899651,0.000275983262302
166,Bangkit,0.000288162235178,0.000285359854769
26,Kampong Bugis,0.000296336819577,8.03275521801e-05
265,Hillview,0.000296966873965,0.000442244233465
267,Istana Negara,0.000298421104062,0.0003004377951
292,Tyersall,0.000305038450768,0.000381099147028
95,Toa Payoh Central,0.000310760136331,0.000210031893173
131,Senja,0.000310999131066,0.00030002335577
74,Toa Payoh West,0.000317319589959,4.59806770102e-05
199,Kampong Glam,0.000317607717291,0.000194155965054
270,Jurong Gateway,0.000319633376344,0.000284757537161
273,Boon Lay Place,0.000320362638001,0.000266590942467
144,Jurong West Central,0.000321692023678,0.000313461557325
278,Chong Boon,0.000327047062303,0.000184986510058
149,Yuhua East,0.000331108063814,0.000340123614977
311,Northshore,0.000334489527341,0.000342220728425
56,Marina East,0.000335051726784,0.000203585735951
232,Upper Thomson,0.000347361582141,0.000422921302089
284,Kangkar,0.000350563364125,0.000408968283703
45,Hougang Central,0.000354166310564,4.25689816441e-05
46,Yishun South,0.000364473751344,0.000314820072828
233,Boon Keng,0.000367398896838,0.000312886168759
98,Yuhua West,0.000370324213524,0.000326453833006
164,Cairnhill,0.000371769168473,0.000271330932257
240,East Coast,0.000387479229504,0.000544878148642
53,Boon Teck,0.000388246923866,0.000237167283622
223,Woodgrove,0.000388971672474,0.000561767458667
197,Dhoby Ghaut,0.000390495868077,0.000599568963136
216,Yunnan,0.000398443371607,0.000200543205019
245,Bukit Ho Swee,0.000408970561553,0.000334149468188
222,Townsville,0.000414644611348,0.000266809799352
226,Mackenzie,0.000416160447927,0.00040726270999
179,Fajar,0.000423999860354,0.000419828459402
99,Choa Chu Kang North,0.000429456166042,0.000192287664872
75,Bencoolen,0.00044938265003,0.000433405238773
107,Hong Kah,0.000451841091614,0.000503064568397
5,Rochor Canal,0.000455174103846,0.000482338690986
41,Woodlands South,0.000470581799929,0.000622119441455
115,Bayfront Subzone,0.000470827612867,0.00089703860549
2,Central Water Catchment,0.000474597912276,0.00100216775569
181,Bras Basah,0.000481872212632,0.000328662160975
249,Lower Seletar,0.000484332214161,0.000522889007763
171,Paya Lebar North,0.000520189097314,0.000169862499059
237,Punggol Town Centre,0.000520336061957,0.00063810875251
33,Siglap,0.000530972284188,0.000644702892029
108,Sembawang Springs,0.000532147947826,0.000488953113804
283,Nassim,0.000532508668072,0.000240794185206
215,Bayshore,0.000545260775303,0.000707989714145
103,Sengkang Town Centre,0.000574886533311,0.000654337199682
230,Hougang West,0.000587149785668,0.000742852034719
130,Compassvale,0.00059384562896,0.000828772922933
272,Hougang East,0.000619114282655,0.000629273450961
86,Serangoon Garden,0.000621456996627,0.000825390456948
32,Trafalgar,0.000629511836561,0.00069816354799
70,Mountbatten,0.000646637673774,0.00058248499309
174,Kembangan,0.00065874621704,0.000545845694984
65,Frankel,0.000701939348646,0.000909108065554
210,Yishun East,0.00070714332826,0.000699972192062
207,Swiss Club,0.000748602530436,0.000521674625147
306,Marina South,0.000770773612773,0.000938981702255
17,Woodlands East,0.000819587798122,0.000629837186704
234,Waterway East,0.000820058056621,0.000823806215849
92,Pasir Ris Park,0.000834429392416,0.000813822753622
154,Yishun West,0.000837524701544,0.00050150171168
257,Kovan,0.000859406194471,0.000612452419304
88,Bedok Reservoir,0.000862065990966,0.000538114245409
20,Bedok North,0.000882138913391,0.000622396544623
241,Crawford,0.00091216764583,0.000556845181118
119,Little India,0.000924825044294,0.0009277835726
288,Anchorvale,0.000929866276,0.000852514309972
39,Pasir Ris West,0.000940734590416,0.000990203034263
113,Bugis,0.000956893760069,0.00139121584943
104,Punggol Field,0.000971026006144,0.000979156181076
80,Changi Point,0.0010271631669,0.00132261013895
168,Marina Centre,0.00109563328841,0.00131423353722
29,Fort Canning,0.00111261415107,0.000813028859439
310,Pasir Ris Central,0.00115851133597,0.000995325484684
228,City Hall,0.00116549936932,0.00134442858948
52,Matilda,0.0011770559872,0.00123732681814
158,Victoria,0.0012118053459,0.00124903745383
182,Tampines North,0.00122269339397,0.00120954339349
25,Tampines East,0.00127074916592,0.00103847087242
194,Lorong Ah Soo,0.00128775204798,0.00126481534725
6,Aljunied,0.00131459045074,0.00132861704511
186,Katong,0.00131665706068,0.001579047733
76,Fernvale,0.00133557928462,0.00123818875415
114,Pasir Ris Drive,0.00135416451242,0.00137395576485
201,Serangoon Central,0.00139473651881,0.00113206179063
193,Geylang East,0.001407010271,0.00156071662346
293,Rivervale,0.00154036951864,0.00131997097789
1,Lavender,0.00155144775926,0.00118093704142
126,Farrer Park,0.00166714705744,0.00169893447257
242,Somerset,0.00194859641947,0.00187067690059
143,Boulevard,0.00226165935563,0.00201930578965
286,Tanjong Rhu,0.00236729510764,0.00292620855971
15,Sentosa,0.00236813783205,0.00258994328427
282,Marine Parade,0.00242612146034,0.00209410580531
189,Maritime Square,0.00335207083977,0.00353393590341
